 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
52 76 130.3436 2.0752 311.3715022 70.01293879100001 -6.2588 1.6091 318.8003 472.3562 0.623 0.97 369.5394 311.3715022 70.01293879999999 7.932074069976807 7.904936790466309 7.888768196105957 0.027137279510498047 0.04330587387084961 0.016168594360351562
53 78 460.1406 512.7358 345.81061487 59.82732491 -16.5073 0.0006 4007892.0 2041.499 0.82 0.0 -139.6124 345.81061489999996 59.827324899999994 6.973435401916504 6.960872650146484 6.9668121337890625 0.012562751770019531 0.006623268127441406 -0.005939483642578125
54 81 364.0217 465.8018 344.8613595 62.807764185 -8.0755 0.4127 1698.9520000000002 645.5788 3.377 2.48 351.2079 344.86135950000005 62.8077642 9.157585144042969 8.908352851867676 8.379351615905762 0.24923229217529297 0.778233528137207 0.5290012359619141
55 82 503.3806 459.8045 342.49504828 59.040423069 -8.2972 0.3243 2083.971 622.3369 2.682 1.51 360.2986 342.4950483 59.040423100000005 10.713693618774414 8.96200942993164 7.729367733001709 1.7516841888427734 2.984325885772705 1.2326416969299316
56 83 343.6395 465.6334 345.19952013 63.430285792 -8.1818 0.3607 1873.755 622.3369 5.4110000000000005 1.58 355.6391 345.19952010000003 63.4302858 9.432808876037598 9.139427185058594 8.707193374633789 0.2933816909790039 0.7256155014038086 0.4322338104248047
57 84 217.707 464.2938 347.71679693 66.747535452 -5.6933 3.4903 189.38 608.6575 0.632 1.63 351.6128 347.71679689999996 66.7475355 11.389641761779785 10.572516441345215 9.710472106933594 0.8171253204345703 1.6791696548461914 0.8620443344116211
58 87 332.4557 464.4557 345.2996669 63.685420278 -7.8769 0.4776 1415.066 622.3369 4.996 1.58 355.9058 345.2996669 63.6854203 9.973954200744629 8.942127227783203 7.96870231628418 1.0318269729614258 2.005251884460449 0.9734249114990234
59 88 -294.7344 -111.8368 351.11017868 70.20479708 -8.3942 0.303 2278.683 635.722 6.699 2.52 351.8541 351.1101787 70.2047971 10.082679748535156 9.848121643066406 9.503079414367676 0.23455810546875 0.5796003341674805 0.34504222869873047
60 89 327.0029 463.6829 345.35372497 63.840784691 -7.9943 0.4356 1576.531 632.4023 6.042999999999999 2.53 356.2734 345.353725 63.84078470000001 9.973954200744629 8.942127227783203 7.96870231628418 1.0318269729614258 2.005251884460449 0.9734249114990234
61 90 313.141 462.2261 345.51407548 64.223005362 -8.6663 0.2358 2927.782 635.722 1.9280000000000002 5.11 358.5647 345.5140755 64.2230054 8.251354217529297 7.793648719787598 7.195685863494873 0.4577054977416992 1.0556683540344238 0.5979628562927246
62 91 143.4543 462.9692 349.4720536 68.811109511 -8.7396 0.2193 3132.1209999999996 632.4023 5.778 2.91 350.2642 349.47205360000004 68.8111095 10.721789360046387 9.873974800109863 8.996452331542969 0.8478145599365234 1.725337028503418 0.8775224685668945
63 94 509.9857 462.8911 342.42379179 58.828777658 -6.8552 1.1125 552.1886 565.6378 0.7909999999999999 2.92 361.7288 342.4237918 58.8287777 9.027642250061035 8.918693542480469 8.752134323120117 0.1089487075805664 0.27550792694091797 0.16655921936035156
64 96 435.4074 462.1787 343.44101839 60.88003298899999 -8.5768 0.2561 2696.085 635.722 5.035 3.57 325.3734 343.44101839999996 60.880033 7.6968464851379395 7.32033634185791 6.808966159820557 0.3765101432800293 0.8878803253173828 0.5113701820373535
65 97 100.819 467.0 351.01234526 69.895472521 -7.3702 0.774 887.3148 632.4023 5.294 2.86 349.3164 351.01234530000005 69.8954725 9.15507984161377 8.029091835021973 7.016555309295654 1.1259880065917969 2.1385245323181152 1.0125365257263184
66 98 261.042 465.2167 346.7553271 65.625222487 -8.9352 0.1841 3750.384 635.722 1.135 1.67 357.5852 346.75532710000004 65.62522249999999 7.062489032745361 6.959818363189697 6.821203231811523 0.10267066955566406 0.2412858009338379 0.13861513137817383
67 99 215.535 462.465 347.60554429 66.88306438 -7.4597 0.7014 963.6030000000001 622.3369 -22.011999999999997 1.66 348.8437 347.6055443 66.8830644 12.512743949890137 11.999773025512695 11.338407516479492 0.5129709243774414 1.1743364334106445 0.6613655090332031
68 100 97.9694 462.8209 350.74713203 70.036042778 -8.2421 0.3485 1980.8110000000001 635.722 2.057 3.66 349.8701 350.74713199999997 70.03604279999999 9.15507984161377 8.029091835021973 7.016555309295654 1.1259880065917969 2.1385245323181152 1.0125365257263184
69 102 208.5316 463.4684 347.83929046 67.062661276 -8.7491 0.2139 3159.6 622.3369 6.361000000000001 1.62 349.3986 347.8392905 67.0626613 9.453585624694824 9.210874557495117 8.851184844970703 0.24271106719970703 0.6024007797241211 0.35968971252441406
70 103 136.4629 461.4629 349.5560329 69.012435113 -7.8627 0.4839 1396.5720000000001 622.3369 -56.45399999999999 1.61 349.7677 349.5560329 69.01243509999999 9.779705047607422 9.459957122802734 9.01977252960205 0.3197479248046875 0.7599325180053711 0.4401845932006836
71 104 80.6369 462.8158 351.24299026 70.501747607 -9.1613 0.1487 4618.682 632.4023 4.1339999999999995 1.03 349.9133 351.2429903 70.50174759999999 11.850804328918457 10.162878036499023 8.969472885131836 1.6879262924194336 2.881331443786621 1.1934051513671875
72 105 74.8109 459.5271 351.26649983 70.661822874 -9.7091 0.0917 7649.334 645.5788 1.598 3.19 352.1498 351.2664998 70.6618229 6.756803035736084 6.597478866577148 6.388942718505859 0.15932416915893555 0.3678603172302246 0.20853614807128906
73 106 509.4413 460.7769 342.30339976 58.860471194 -7.0289 0.9604 647.9642 573.0321 1.143 1.51 360.8871 342.3033998 58.860471200000006 10.713693618774414 8.96200942993164 7.729367733001709 1.7516841888427734 2.984325885772705 1.2326416969299316
74 107 504.0758 461.9418 342.46310894 58.969419758 -8.8014 0.2219 3315.474 677.3995 3.6 5.68 360.70099999999996 342.46310889999995 58.9694198 10.713693618774414 8.96200942993164 7.729367733001709 1.7516841888427734 2.984325885772705 1.2326416969299316
75 108 26.5873 456.5682 352.66027845 71.94668746100001 -10.3998 0.0798 14451.66 1062.182 2.918 2.28 362.4778 352.6602784 71.9466875 8.373364448547363 8.079898834228516 7.669054985046387 0.29346561431884766 0.7043094635009766 0.4108438491821289
76 109 504.2524 469.3427 342.82767679 58.941038558 -8.1415 0.3824 1805.4289999999999 635.722 1.2830000000000001 5.04 361.5699 342.8276768 58.941038600000006 7.37075138092041 6.994900703430176 6.476803302764893 0.3758506774902344 0.8939480781555176 0.5180974006652832
77 110 434.478 460.0 343.33282482 60.920906056999996 -8.972 0.177 3879.587 632.4023 5.263 1.1 324.7454 343.3328248 60.920906099999996 7.6968464851379395 7.32033634185791 6.808966159820557 0.3765101432800293 0.8878803253173828 0.5113701820373535
78 111 355.3279 458.947 344.5416831 63.096533341000004 -9.0195 0.1703 4053.053 635.722 1.569 2.01 353.4266 344.5416831 63.0965333 7.520478248596191 7.296388626098633 6.956786632537842 0.2240896224975586 0.5636916160583496 0.339601993560791
79 112 239.6693 456.9474 346.75686977 66.28236506 -8.8242 0.2071 3386.0820000000003 645.5788 3.3539999999999996 6.06 354.8243 346.7568698 66.2823651 8.95699691772461 8.154337882995605 7.316727638244629 0.8026590347290039 1.6402692794799805 0.8376102447509766
80 113 347.95 457.1446 344.65527074 63.346298778000005 -8.7688 0.2146 3217.469 635.722 4.917 3.64 355.5947 344.6552707 63.3462988 9.133954048156738 8.906350135803223 8.557857513427734 0.22760391235351562 0.5760965347290039 0.3484926223754883
81 114 269.3535 458.3126 346.14652605 65.45967475399999 -8.4563 0.2846 2412.901 632.4023 7.0 2.54 354.7374 346.1465261 65.4596748 10.053445816040039 9.691645622253418 9.177173614501953 0.3618001937866211 0.8762722015380859 0.5144720077514648
